date_trunc;relid;schemaname;relname;heap_blks_read;heap_blks_hit;idx_blks_read;idx_blks_hit;toast_blks_read;toast_blks_hit;tidx_blks_read;tidx_blks_hit
2015-09-19 17:22:04-03;2600;pg_catalog;pg_aggregate;1;2;2;4;;;;
2015-09-19 17:22:04-03;2601;pg_catalog;pg_am;23;10148;0;0;;;;
2015-09-19 17:22:04-03;2602;pg_catalog;pg_amop;60;778;138;1306;;;;
2015-09-19 17:22:04-03;2603;pg_catalog;pg_amproc;69;10502;69;30968;;;;
2015-09-19 17:22:04-03;2604;pg_catalog;pg_attrdef;0;0;2;4;0;0;0;0
2015-09-19 17:22:04-03;1249;pg_catalog;pg_attribute;463;25909;117;55896;;;;
2015-09-19 17:22:04-03;1261;pg_catalog;pg_auth_members;0;0;0;0;;;;
2015-09-19 17:22:04-03;1260;pg_catalog;pg_authid;47;1557;230;5918;;;;
2015-09-19 17:22:04-03;2605;pg_catalog;pg_cast;23;96;46;1772;;;;
2015-09-19 17:22:04-03;1259;pg_catalog;pg_class;184;345753;116;33052;;;;
2015-09-19 17:22:04-03;3456;pg_catalog;pg_collation;2;92;2;2;;;;
2015-09-19 17:22:04-03;2606;pg_catalog;pg_constraint;0;0;0;0;0;0;0;0
2015-09-19 17:22:04-03;2607;pg_catalog;pg_conversion;0;0;0;0;;;;
2015-09-19 17:22:04-03;1262;pg_catalog;pg_database;0;156346;92;188409;;;;
2015-09-19 17:22:04-03;2964;pg_catalog;pg_db_role_setting;11;10895;46;157704;0;0;0;0
2015-09-19 17:22:04-03;826;pg_catalog;pg_default_acl;0;0;2;24;;;;
2015-09-19 17:22:04-03;2608;pg_catalog;pg_depend;10;397;18;828;;;;
2015-09-19 17:22:04-03;2609;pg_catalog;pg_description;4;0;3;2;0;0;0;0
2015-09-19 17:22:04-03;3501;pg_catalog;pg_enum;0;0;0;0;;;;
2015-09-19 17:22:04-03;3466;pg_catalog;pg_event_trigger;0;0;2;11;;;;
2015-09-19 17:22:04-03;3079;pg_catalog;pg_extension;4;130;4;2;;;;
2015-09-19 17:22:04-03;2328;pg_catalog;pg_foreign_data_wrapper;0;0;0;0;;;;
2015-09-19 17:22:04-03;1417;pg_catalog;pg_foreign_server;0;0;0;0;;;;
2015-09-19 17:22:04-03;3118;pg_catalog;pg_foreign_table;0;0;0;0;;;;
2015-09-19 17:22:04-03;2610;pg_catalog;pg_index;69;11888;92;21877;;;;
2015-09-19 17:22:04-03;2611;pg_catalog;pg_inherits;0;0;0;0;;;;
2015-09-19 17:22:04-03;2612;pg_catalog;pg_language;2;24;8;44;;;;
2015-09-19 17:22:04-03;2613;pg_catalog;pg_largeobject;0;0;0;0;;;;
2015-09-19 17:22:04-03;2995;pg_catalog;pg_largeobject_metadata;0;0;0;0;;;;
2015-09-19 17:22:04-03;2615;pg_catalog;pg_namespace;23;123;48;198;;;;
2015-09-19 17:22:04-03;2616;pg_catalog;pg_opclass;46;12343;92;20738;;;;
2015-09-19 17:22:04-03;2617;pg_catalog;pg_operator;19;163;44;166;;;;
2015-09-19 17:22:04-03;2753;pg_catalog;pg_opfamily;0;0;0;0;;;;
2015-09-19 17:22:04-03;1136;pg_catalog;pg_pltemplate;0;0;0;0;;;;
2015-09-19 17:22:04-03;1255;pg_catalog;pg_proc;123;618;216;1265;0;0;0;0
2015-09-19 17:22:04-03;3541;pg_catalog;pg_range;0;0;0;0;;;;
2015-09-19 17:22:04-03;2618;pg_catalog;pg_rewrite;2;3;2;6;0;0;0;0
2015-09-19 17:22:04-03;3596;pg_catalog;pg_seclabel;0;0;0;0;0;0;0;0
2015-09-19 17:22:04-03;1214;pg_catalog;pg_shdepend;2;13;7;27;;;;
2015-09-19 17:22:04-03;2396;pg_catalog;pg_shdescription;0;0;0;0;0;0;0;0
2015-09-19 17:22:04-03;3592;pg_catalog;pg_shseclabel;0;0;0;0;;;;
2015-09-19 17:22:04-03;2619;pg_catalog;pg_statistic;120;360;69;1019;1;1;2;2
2015-09-19 17:22:04-03;1213;pg_catalog;pg_tablespace;23;682;46;1359;;;;
2015-09-19 17:22:04-03;2620;pg_catalog;pg_trigger;0;0;0;0;0;0;0;0
2015-09-19 17:22:04-03;3602;pg_catalog;pg_ts_config;0;0;0;0;;;;
2015-09-19 17:22:04-03;3603;pg_catalog;pg_ts_config_map;0;0;0;0;;;;
2015-09-19 17:22:04-03;3600;pg_catalog;pg_ts_dict;0;0;0;0;;;;
2015-09-19 17:22:04-03;3601;pg_catalog;pg_ts_parser;0;0;0;0;;;;
2015-09-19 17:22:04-03;3764;pg_catalog;pg_ts_template;0;0;0;0;;;;
2015-09-19 17:22:04-03;1247;pg_catalog;pg_type;49;813;69;997;;;;
2015-09-19 17:22:04-03;1418;pg_catalog;pg_user_mapping;0;0;0;0;;;;
2015-09-19 17:22:04-03;11647;pg_toast;pg_toast_11645;0;0;0;0;;;;
2015-09-19 17:22:04-03;11652;pg_toast;pg_toast_11650;0;0;0;0;;;;
2015-09-19 17:22:04-03;11657;pg_toast;pg_toast_11655;0;0;0;0;;;;
2015-09-19 17:22:04-03;11662;pg_toast;pg_toast_11660;0;0;0;0;;;;
2015-09-19 17:22:04-03;11667;pg_toast;pg_toast_11665;0;0;0;0;;;;
2015-09-19 17:22:04-03;11672;pg_toast;pg_toast_11670;0;0;0;0;;;;
2015-09-19 17:22:04-03;11677;pg_toast;pg_toast_11675;0;0;0;0;;;;
2015-09-19 17:22:04-03;2836;pg_toast;pg_toast_1255;0;0;0;0;;;;
2015-09-19 17:22:04-03;2846;pg_toast;pg_toast_2396;0;0;0;0;;;;
2015-09-19 17:22:04-03;2830;pg_toast;pg_toast_2604;0;0;0;0;;;;
2015-09-19 17:22:04-03;2832;pg_toast;pg_toast_2606;0;0;0;0;;;;
2015-09-19 17:22:04-03;2834;pg_toast;pg_toast_2609;0;0;0;0;;;;
2015-09-19 17:22:04-03;2838;pg_toast;pg_toast_2618;0;0;0;0;;;;
2015-09-19 17:22:04-03;2840;pg_toast;pg_toast_2619;1;1;2;2;;;;
